timestamp,event_type,order_id,side,price,quantity
1000,add,1,bid,96.1118,6
1100,add,2,ask,96.2118,7
1200,add,3,bid,103.4888,8
1300,add,4,ask,103.5888,16
1400,add,5,bid,112.595,7
1500,add,6,ask,112.695,18
1600,add,7,bid,106.2819,12
1700,add,8,ask,106.3819,7
1800,add,9,bid,125.4705,12
1900,add,10,ask,125.5705,6
2000,add,11,bid,134.2926,17
2100,add,12,ask,134.3926,6
2200,add,13,bid,172.4471,14
2300,add,14,ask,172.5471,18
2400,add,15,bid,172.5471,5
2500,add,16,bid,187.21,10
2600,add,17,ask,187.31,8
2700,add,18,bid,169.7855,7
2800,add,19,ask,169.8855,6
2900,add,20,bid,150.9461,20
3000,add,21,ask,151.0461,18
3100,add,22,bid,100.7939,16
3200,add,23,ask,100.8939,14
3300,add,24,bid,100.8939,4
3400,add,25,bid,108.1479,7
3500,add,26,ask,108.2479,14
3600,add,27,bid,126.7204,14
3700,add,28,ask,126.8204,7
3800,add,29,bid,126.8204,6
3900,add,30,bid,104.9975,9
4000,add,31,ask,105.0975,20
4100,add,32,bid,111.1522,15
4200,add,33,ask,111.2522,15
4300,add,34,bid,109.5672,20
4400,add,35,ask,109.6672,19
4500,add,36,bid,109.6672,5
4600,add,37,bid,85.5988,6
4700,add,38,ask,85.6988,14
4800,add,39,bid,88.6738,19
4900,add,40,ask,88.7738,14
5000,add,41,bid,97.9938,19
5100,add,42,ask,98.0938,16
5200,add,43,bid,98.0938,1
5300,add,44,bid,89.146,11
5400,add,45,ask,89.246,14
5500,add,46,bid,89.246,7
5600,add,47,bid,102.7272,10
5700,add,48,ask,102.8272,19
5800,add,49,bid,93.7118,13
5900,add,50,ask,93.8118,9
6000,add,51,bid,101.171,18
6100,add,52,ask,101.271,16
6200,add,53,bid,91.9187,17
6300,add,54,ask,92.0187,12
6400,add,55,bid,92.0187,4
6500,add,56,bid,90.7502,10
6600,add,57,ask,90.8502,13
6700,add,58,bid,90.8502,6
6800,add,59,bid,88.9693,15
6900,add,60,ask,89.0693,9
7000,add,61,bid,70.5424,6
7100,add,62,ask,70.6424,19
7200,add,63,bid,69.1155,17
7300,add,64,ask,69.2155,17
7400,add,65,bid,80.8255,6
7500,add,66,ask,80.9255,11
7600,add,67,bid,80.9255,3
7700,add,68,bid,91.2464,8
7800,add,69,ask,91.3464,15
7900,add,70,bid,105.4194,8
8000,add,71,ask,105.5194,16
8100,add,72,bid,117.6934,7
8200,add,73,ask,117.7934,11
8300,add,74,bid,125.7079,16
8400,add,75,ask,125.8079,16
8500,add,76,bid,137.2668,8
8600,add,77,ask,137.3668,20
8700,add,78,bid,114.1171,7
8800,add,79,ask,114.2171,9
8900,add,80,bid,114.2171,5
9000,add,81,bid,118.2938,20
9100,add,82,ask,118.3938,10
9200,add,83,bid,130.4428,16
9300,add,84,ask,130.5428,9
9400,add,85,bid,176.7863,5
9500,add,86,ask,176.8863,14
9600,add,87,bid,203.5391,13
9700,add,88,ask,203.6391,16
9800,add,89,bid,167.8531,16
9900,add,90,ask,167.9531,12
10000,add,91,bid,171.9425,12
10100,add,92,ask,172.0425,11
10200,add,93,bid,149.2514,17
10300,add,94,ask,149.3514,12
10400,add,95,bid,149.3514,1
10500,add,96,bid,188.7399,20
10600,add,97,ask,188.8399,13
10700,add,98,ask,188.7399,6
10800,add,99,bid,185.4736,19
10900,add,100,ask,185.5736,16
11000,add,101,bid,172.5188,12
11100,add,102,ask,172.6188,20
11200,add,103,bid,172.6188,1
11300,add,104,bid,186.2502,20
11400,add,105,ask,186.3502,16
11500,add,106,bid,221.6392,17
11600,add,107,ask,221.7392,11
11700,add,108,bid,246.4648,10
11800,add,109,ask,246.5648,18
11900,add,110,bid,213.5469,17
12000,add,111,ask,213.6469,19
12100,add,112,bid,263.5392,7
12200,add,113,ask,263.6392,10
12300,add,114,bid,263.6392,3
12400,add,115,bid,226.3027,9
12500,add,116,ask,226.4027,20
12600,add,117,bid,205.7802,16
12700,add,118,ask,205.8802,9
12800,add,119,bid,209.3365,8
12900,add,120,ask,209.4365,9
13000,add,121,bid,213.2371,11
13100,add,122,ask,213.3371,11
13200,add,123,bid,213.3371,4
13300,add,124,bid,215.6767,18
13400,add,125,ask,215.7767,9
13500,add,126,ask,215.6767,8
13600,add,127,bid,187.0394,18
13700,add,128,ask,187.1394,9
13800,add,129,bid,181.6452,19
13900,add,130,ask,181.7452,10
14000,add,131,bid,180.8658,9
14100,add,132,ask,180.9658,10
14200,add,133,ask,180.8658,2
14300,add,134,bid,158.2626,20
14400,add,135,ask,158.3626,8
14500,add,136,bid,150.9338,6
14600,add,137,ask,151.0338,12
14700,add,138,bid,151.0338,2
