timestamp,event_type,order_id,side,price,quantity
1000,add,1,bid,99.6941,6
1100,add,2,ask,99.7941,7
1200,add,3,bid,100.2042,8
1300,add,4,ask,100.3042,16
1400,add,5,bid,100.7921,7
1500,add,6,ask,100.8921,18
1600,add,7,bid,100.4153,12
1700,add,8,ask,100.5153,7
1800,add,9,bid,101.6239,12
1900,add,10,ask,101.7239,6
2000,add,11,bid,102.1004,17
2100,add,12,ask,102.2004,6
2200,add,13,bid,104.0345,14
2300,add,14,ask,104.1345,18
2400,add,15,bid,104.6283,8
2500,add,16,ask,104.7283,14
2600,add,17,bid,104.426,11
2700,add,18,ask,104.526,16
2800,add,19,ask,104.426,1
2900,add,20,bid,103.9826,11
3000,add,21,ask,104.0826,20
3100,add,22,bid,103.171,19
3200,add,23,ask,103.271,16
3300,add,24,bid,103.5649,10
3400,add,25,ask,103.6649,12
3500,add,26,bid,103.6649,8
3600,add,27,bid,104.7506,14
3700,add,28,ask,104.8506,7
3800,add,29,bid,103.5534,18
3900,add,30,ask,103.6534,10
4000,add,31,bid,104.2468,6
4100,add,32,ask,104.3468,7
4200,add,33,bid,105.2333,15
4300,add,34,ask,105.3333,15
4400,add,35,bid,104.0834,19
4500,add,36,ask,104.1834,7
4600,add,37,bid,103.3171,13
4700,add,38,ask,103.4171,20
4800,add,39,bid,104.8547,14
4900,add,40,ask,104.9547,19
5000,add,41,bid,105.53,17
5100,add,42,ask,105.63,16
5200,add,43,bid,105.63,3
5300,add,44,bid,104.5855,11
5400,add,45,ask,104.6855,14
5500,add,46,bid,103.8019,12
5600,add,47,ask,103.9019,17
5700,add,48,bid,104.096,19
5800,add,49,ask,104.196,17
5900,add,50,bid,103.7875,9
6000,add,51,ask,103.8875,18
6100,add,52,bid,103.5964,16
6200,add,53,ask,103.6964,17
6300,add,54,bid,104.6531,9
6400,add,55,ask,104.7531,7
6500,add,56,bid,104.7394,20
6600,add,57,ask,104.8394,10
6700,add,58,bid,105.4984,5
6800,add,59,ask,105.5984,9
6900,add,60,bid,104.5691,9
7000,add,61,ask,104.6691,6
7100,add,62,bid,105.5593,17
7200,add,63,ask,105.6593,17
7300,add,64,bid,106.7513,6
7400,add,65,ask,106.8513,11
7500,add,66,bid,106.8513,3
7600,add,67,bid,107.6687,8
7700,add,68,ask,107.7687,15
7800,add,69,bid,108.7835,8
7900,add,70,ask,108.8835,16
8000,add,71,bid,109.6279,7
8100,add,72,ask,109.7279,11
8200,add,73,bid,110.1256,16
8300,add,74,ask,110.2256,16
8400,add,75,bid,110.8007,8
8500,add,76,ask,110.9007,20
8600,add,77,bid,109.5549,7
8700,add,78,ask,109.6549,9
8800,add,79,bid,109.8222,15
8900,add,80,ask,109.9222,13
9000,add,81,bid,109.3506,11
9100,add,82,ask,109.4506,16
9200,add,83,bid,108.1185,5
9300,add,84,ask,108.2185,14
9400,add,85,bid,109.2094,13
9500,add,86,ask,109.3094,16
9600,add,87,bid,107.9327,16
9700,add,88,ask,108.0327,12
9800,add,89,bid,108.108,12
9900,add,90,ask,108.208,11
10000,add,91,bid,107.1567,17
10100,add,92,ask,107.2567,12
10200,add,93,bid,105.4212,5
10300,add,94,ask,105.5212,13
10400,add,95,bid,105.4987,11
10500,add,96,ask,105.5987,16
10600,add,97,bid,108.3963,16
10700,add,98,ask,108.4963,7
10800,add,99,bid,107.1526,12
10900,add,100,ask,107.2526,20
11000,add,101,bid,107.5766,5
11100,add,102,ask,107.6766,20
11200,add,103,bid,109.0207,16
11300,add,104,ask,109.1207,7
11400,add,105,bid,109.8098,11
11500,add,106,ask,109.9098,20
11600,add,107,bid,110.5552,18
11700,add,108,ask,110.6552,15
11800,add,109,ask,110.5552,7
11900,add,110,bid,108.7797,7
12000,add,111,ask,108.8797,10
12100,add,112,bid,109.1914,9
12200,add,113,ask,109.2914,5
12300,add,114,bid,110.828,9
12400,add,115,ask,110.928,20
12500,add,116,bid,109.6969,16
12600,add,117,ask,109.7969,9
12700,add,118,bid,109.8233,8
12800,add,119,ask,109.9233,9
12900,add,120,bid,109.9597,11
13000,add,121,ask,110.0597,11
13100,add,122,bid,110.0597,4
13200,add,123,bid,110.0436,18
13300,add,124,ask,110.1436,9
13400,add,125,ask,110.0436,8
13500,add,126,bid,109.0693,18
13600,add,127,ask,109.1693,9
